ID,SYEAR,EYEAR,LON,LAT,DIR
AR-SLu,2010,2010,-66.45980072,-33.46480179,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AT-Neu,2002,2012,11.31750011,47.1166687,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-ASM,2011,2017,133.2489929,-22.28300095,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Cow,2010,2015,145.4271545,-16.2381897,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Cpr,2011,2017,140.5891266,-34.00205994,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Ctr,2010,2017,145.4468536,-16.10327911,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Cum,2013,2018,150.7224731,-33.61329651,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-DaP,2009,2012,131.3181,-14.06330013,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-DaS,2010,2017,131.3880005,-14.15928268,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Dry,2011,2015,132.3706055,-15.25879955,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Emr,2012,2013,148.4745941,-23.8586998,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-GWW,2013,2017,120.6540985,-30.19129944,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Gin,2012,2017,115.6500015,-31.375,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-How,2003,2017,131.1499939,-12.49520016,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Lit,2016,2017,130.7944946,-13.17903996,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Otw,2009,2010,142.816803,-38.532341,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Rig,2011,2016,145.5758972,-36.64989853,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Rob,2014,2017,145.6300964,-17.11750031,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
